,tsne1,tsne2
10532.00954e18.1dcf.40fc.a52e.255f5cda6f9c,-42.94352022664506,65.29461093680673
10532.00cdbb86.acbd.429c.abe3.12f19990314a,-7.906614878926677,32.52448352295488
10532.00e6b118.fb6e.4022.96d1.62e553d9b40c,24.14189920530689,53.49711265752957
10532.0129210b.a355.4608.8aac.7e6d637c0b5c,-56.59184947225307,36.73533588664971
10532.0476f5aa.a4f4.4835.ada1.4e72fb601e0a,-52.16408669039322,17.380853170208493
10532.049a1207.554b.43e8.9548.1b0fb0f8cd2b,41.68813006574226,62.6453291632376
10532.04ea008a.d444.4833.988c.a2a3f5d4ad23,-32.627674609773464,-3.536427724199336
10532.04fd9a21.4876.4619.b4e7.6f6a2473bb98,-22.813800512292463,24.844780801073536
10532.05ddd9c2.3f7f.4b2a.8432.06f416424741,-17.114475797702738,32.28353555317891
10532.06104fa3.3f90.4a7a.944c.511c32501925,-56.19054757711393,37.13537187482586
10532.0717cd28.3894.450b.a177.8e41899fa790,-41.95405551263793,-8.7806347317645
10532.07b37371.e1be.4806.ba9e.105e8b6eb137,32.86569076641559,53.27886054985235
10532.08ea0c6b.7a30.4074.bbf6.557480fc5285,-42.63201984096361,65.18746260017127
10532.08fb8b2c.2152.4c58.b04c.ce6e1502b9c4,-45.2986097493144,65.78932645146332
10532.097aca46.4d88.4858.9076.a82c0ce1d29b,-31.062929382669733,55.47935064494148
10532.09aae222.0d4d.449f.b284.e4aa4151bd18,-45.55706456238641,62.04016285882557
10532.0a75af43.917b.4ba4.bd50.0607a68a587b,-43.47440063481763,69.63380027537143
10532.0bb5e24a.aa34.48e7.b1f9.e761ac2dc6b4,19.416663868967436,69.73902239798815
10532.0c3cf073.b655.4073.ac7f.bcff02f48e23,11.758506557168378,58.70388057061114
10532.0c792e0e.c9e4.4789.a129.9263c4d80ab5,12.389330480405206,68.05183561326467
10532.0d0b86b0.b46c.47d2.a0e8.c862dba23fa3,-16.85505012363947,69.12856094719407
10532.0d8cd22b.1b5e.4fe1.abe4.a53346e6f530,-18.29077832951716,54.07761262836569
10532.0dc46d75.4646.4d47.ab42.cc127481ec0e,-7.489300437632226,51.93197849669575
10532.0e5f0298.f09a.406d.a54f.4683590a58ef,28.720178536220185,58.83138314318481
10532.0eb12bd1.4548.4004.8dcd.1a71de8b1df5,1.100361019425829,39.64820130560659
10532.0ec75303.6a6a.4ad9.aa50.f98525d9e3f0,45.70708665118288,65.1382937429872
10532.0ed823be.aab6.40bc.810e.18b3ee3e572b,18.28339422881061,52.70174098847353
10532.101c02ce.4f8d.4394.83a3.0c406831d934,15.88481297088437,48.42901952196279
10532.1037164d.a836.4ebe.bf98.92294a0b60ab,29.10561171341703,56.787651772965454
10532.103e4419.d712.46e0.95db.3b7bdab449a7,66.39686812296328,56.25757243547213
10532.104e5902.1c3e.417f.bb22.124bfca61a61,19.44331956143004,69.72881247561328
10532.10d8aff9.6fa1.4788.ac34.075f71d7e3c6,-7.927153849344113,32.4751335842035
10532.112c4226.3f1f.4a90.bd62.bd09a8a0b791,-23.728994342485247,53.91220460865808
10532.1179fc32.1721.4500.9ebb.2711571cec96,37.51821085543786,84.67710039273922
10532.1193c5d0.fb53.406a.9626.bcdd00a82103,-46.74316266765172,38.73447134054776
10532.11c4be47.fdce.4135.8acf.0894f2da5ede,53.51402330016597,80.13256453989572
10532.11c70d46.e0a4.4797.ad7b.3677fe93d73b,18.99084557466174,32.29368222777185
10532.11d9c298.6eab.4b6b.9665.1dba120f03b2,-45.6789529273719,66.35831685402592
10532.11f3f37a.3698.4031.8183.75f6f2c6c04c,9.284934096985024,49.09246028927438
10532.1230c3fd.efa4.4ad9.8f01.499141965b11,-23.658338268286517,46.928312489666304
10532.124dc1db.9029.41c6.afff.b73a692e19b1,-24.17000245325257,17.110872471306767
10532.12e944d7.69e9.44f6.8c3d.a9e40d1a21a4,8.418106819950564,55.730555689324895
10532.1302d53f.3364.4f3d.bbc4.50e9f9065ae7,31.256303069442023,58.5683067934999
10532.14c94c5e.aaf2.414f.a72f.74ccc134b294,12.062003127852709,33.84319706038439
10532.15129220.6eda.44ad.9511.be0f6e027f5d,25.952157719873245,49.07851327520167
10532.1527a35e.aff8.4404.a7b5.93297cc857bb,20.23038517709566,54.49257165881693
10532.15d8ed7d.7d90.4fee.9874.a30e5a6e2ec8,13.905184647312396,48.47210770574079
10532.1654ccec.557a.40f3.b4d9.b263f9e2ad4e,3.355356403586153,47.41204763237771
10532.1709339c.5162.4847.bab8.d492c164537a,-30.330990781941104,54.904664736628256
10532.17f96e8a.dc68.4aef.98db.8aaaab702e33,32.297047498575864,43.31240798420375
10532.180f9254.809c.4c9d.b741.e87498d4c2c9,26.41658733228489,48.946789219636265
10532.183645ce.cacd.4744.8440.de4eb377dfea,-59.16064269550707,29.057824561148184
10532.18b7bc36.8427.431c.a28c.9a4d0b19f83d,16.441024138018385,38.44151277983393
10532.18f853f2.0e63.400e.baac.cad966c6c0a0,-57.00841113445593,44.13745590816307
10532.1a3cebf2.a600.4fdd.901f.739e27cb4a6c,-49.12713405807364,40.83906004791981
