	Aerobic	Anaerobic	Contains_Mobile_Elements	Facultatively_Anaerobic	Forms_Biofilms	Gram_Negative	Gram_Positive	Potentially_Pathogenic	Stress_Tolerant
228054	0	0	0.004310345	0	0	1	0	0.00729927	0
228057	0	0	0.004310345	0	0.029411765	1	0	0.00729927	0
378462	0	0	0.012931034	1	0	0	1	0.01459854	0
89370	0	0	0.00862069	0	0	0	1	0.01459854	0.016949153
370251	0	1	0.025862069	0	0.029411765	1	0	0.04379562	0.186440678
2562098	0	0	0.086206897	0	0	0	1	0.01459854	0.016949153
370253	0	1	0.004310345	0	0	0	1	0.01459854	0.016949153
2562097	0	0	0.086206897	0	0	0	1	0.01459854	0.016949153
2562091	1	0	0.00862069	0	0.029411765	0	1	0	0.016949153
2562090	1	0	0	0	0	1	0	0.00729927	0
4369464	1	0	0.012931034	0	0.058823529	1	0	0.02189781	0.016949153
4369469	0	0	0.004310345	0	0.029411765	1	0	0	0.016949153
4369468	1	0	0.004310345	0	0.029411765	1	0	0	0.016949153
4473812	0	0	0.00862069	0	0	1	0	0.01459854	0
3209311	0	0	0.021551724	0	0.029411765	1	0	0.051094891	0.13559322
4473818	1	0	0.034482759	0	0.029411765	1	0	0.02919708	0.06779661
4470541	0	1	0	0	0.029411765	1	0	0.01459854	0
4424923	0	1	0.00862069	0	0	0	1	0	0.016949153
4470542	0	0	0.00862069	0	0.058823529	1	0	0.00729927	0
4424926	1	0	0.004310345	0	0	1	0	0.00729927	0.016949153
4424927	0	1	0.00862069	0	0.029411765	0	1	0	0.016949153
4424924	0	1	0.004310345	0	0	0	1	0.00729927	0.016949153
4424925	1	0	0.004310345	0	0	1	0	0.00729927	0.016949153
4470549	1	0	0.030172414	0	0.029411765	1	0	0.02919708	0.06779661
649518	1	0	0.004310345	0	0	1	0	0.00729927	0.016949153
4424928	1	0	0.030172414	0	0.029411765	1	0	0.02919708	0.06779661
4424929	1	0	0.004310345	0	0	1	0	0.00729927	0.016949153
252560	1	0	0.004310345	0	0.029411765	1	0	0.00729927	0.016949153
2592645	0	0	0.004310345	0	0	1	0	0.01459854	0
1554029	0	1	0	0	0	1	0	0.01459854	0
494928	0	1	0.012931034	0	0	1	0	0.01459854	0.016949153
4364734	0	0	0.004310345	0	0	1	0	0.00729927	0.016949153
4364732	1	0	0.004310345	0	0	1	0	0.00729927	0.016949153
458334	1	0	0.00862069	0	0.029411765	0	1	0	0.016949153
4364739	0	0	0.004310345	0	0	1	0	0	0.016949153
638078	1	0	0	0	0.029411765	1	0	0.01459854	0.016949153
776288	0	0	0.00862069	0	0	1	0	0.01459854	0
97153	1	0	0.030172414	0	0.029411765	1	0	0.02919708	0.06779661
97151	0	1	0	0	0	1	0	0.01459854	0.016949153
638076	0	0	0.030172414	0	0	0	1	0.01459854	0.016949153
4361271	1	0	0.00862069	0	0.029411765	0	1	0	0.016949153
542396	0	0	0	0	0.029411765	1	0	0.01459854	0
260291	0	1	0.004310345	0	0	1	0	0.01459854	0.016949153
260290	0	1	0.004310345	0	0	0	1	0.01459854	0.016949153
260296	0	1	0.00862069	0	0	0	1	0.00729927	0.016949153
4091971	1	0	0.056034483	0	0.029411765	1	0	0.03649635	0.050847458
16708	0	0	0.086206897	0	0	0	1	0.01459854	0.016949153
3690413	0	1	0.004310345	0	0	0	1	0.00729927	0.016949153
3631907	0	1	0.004310345	0	0	1	0	0	0
4321922	0	0	0	1	0	1	0	0.01459854	0
4321924	0	1	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
16700	0	0	0.004310345	0	0	1	0	0.00729927	0.016949153
762273	1	0	0	0	0	1	0	0.00729927	0
4378494	0	1	0.004310345	0	0	0	1	0.01459854	0.016949153
323050	0	1	0.004310345	0	0	0	1	0.01459854	0.016949153
4378492	0	1	0	0	0	1	0	0.01459854	0.016949153
583935	0	1	0.012931034	0	0	1	0	0.01459854	0.016949153
583936	1	0	0.004310345	0	0	1	0	0.00729927	0.016949153
247493	1	0	0	0	0.029411765	1	0	0.01459854	0.016949153
583939	1	0	0.004310345	0	0	1	0	0.01459854	0.016949153
319693	0	0	0.004310345	0	0	0	1	0	0.016949153
4361279	0	0	0.086206897	0	0.029411765	1	0	0.03649635	0.084745763
545968	1	0	0.056034483	0	0.029411765	1	0	0.03649635	0.050847458
119865	1	0	0	0	0	1	0	0.00729927	0
119867	0	0	0.004310345	0	0	1	0	0.01459854	0
545961	0	1	0	0	0	1	0	0.01459854	0.016949153
545963	0	1	0.004310345	0	0	0	1	0.01459854	0.016949153
1109876	0	0	0.004310345	1	0.029411765	1	0	0.01459854	0.016949153
4471603	0	1	0.004310345	0	0	0	1	0.00729927	0.016949153
235969	1	0	0.004310345	0	0.029411765	1	0	0.00729927	0.016949153
510585	0	1	0	0	0	1	0	0.01459854	0.016949153
671258	1	0	0.004310345	0	0.029411765	0	1	0.00729927	0.016949153
510587	0	1	0	0	0.029411765	1	0	0.01459854	0
510586	0	0	0.004310345	0	0	1	0	0.01459854	0
235963	0	0	0.004310345	0	0.029411765	1	0	0	0.016949153
510580	1	0	0.004310345	0	0.029411765	1	0	0	0.016949153
1882280	1	0	0.00862069	0	0	0	1	0.00729927	0.016949153
204171	0	1	0	0	0	1	0	0.01459854	0.016949153
176062	0	1	0.004310345	0	0	0	1	0.01459854	0.016949153
176063	0	1	0.004310345	0	0	0	1	0.00729927	0.016949153
176060	0	1	0.004310345	0	0	0	1	0.01459854	0.016949153
176067	0	1	0.004310345	0	0	0	1	0.00729927	0.016949153
4324256	1	0	0.00862069	0	0.029411765	0	1	0	0.016949153
247460	0	0	0.168103448	1	0.117647059	1	0	0.197080292	0.559322034
554377	1	0	0.004310345	0	0.029411765	0	1	0	0.016949153
818562	0	0	0.004310345	1	0.029411765	1	0	0.01459854	0.016949153
554375	0	1	0.004310345	0	0.029411765	1	0	0	0.016949153
554372	0	1	0.004310345	0	0	0	1	0.01459854	0.016949153
4363440	0	0	0.004310345	0	0	1	0	0.01459854	0
818568	0	0	0.081896552	1	0.205882353	1	0	0.270072993	0.762711864
742886	1	0	0.004310345	0	0.029411765	1	0	0.02919708	0.101694915
463007	0	1	0.004310345	0	0	0	1	0.01459854	0.016949153
821003	0	0	0.004310345	0	0	1	0	0.01459854	0
656967	0	1	0.004310345	0	0	0	1	0.01459854	0.016949153
821005	0	1	0	0	0.029411765	1	0	0.01459854	0
250992	1	0	0.030172414	0	0.029411765	1	0	0.02919708	0.06779661
821008	0	0	0.004310345	0	0.029411765	1	0	0	0.016949153
306940	0	0	0.004310345	0	0	1	0	0.00729927	0.016949153
4362194	1	0	0.004310345	0	0.029411765	1	0	0.00729927	0
4362195	0	1	0.004310345	0	0.029411765	1	0	0.03649635	0.084745763
4362196	0	0	0.004310345	1	0.029411765	1	0	0.01459854	0.016949153
