Dimension,Iteration,MeanCost,StdDevCost
25,1,0.1192534,0.0001894028510873066
25,2,0.07801759999999999,6.860787126853589e-05
25,3,0.0764552,6.503968019602023e-05
25,4,0.07558880000000001,5.442572920962965e-05
25,5,0.07497580000000001,4.5472629130058977e-05
25,6,0.0745046,4.351827202451709e-05
25,7,0.0741266,4.4039073559737724e-05
25,8,0.07381,4.540925015896749e-05
25,9,0.0735416,5.121952752613136e-05
25,10,0.0733104,5.7151027987252986e-05
25,11,0.0731064,5.8397260209704935e-05
25,12,0.07292560000000001,5.954695626142545e-05
25,13,0.0727634,6.383917292697359e-05
25,14,0.0726158,6.359371038082589e-05
25,15,0.0724844,6.399249956049581e-05
25,16,0.07236419999999999,6.508886233450286e-05
25,17,0.07225039999999999,6.572853261712084e-05
25,18,0.0721492,6.384794436784974e-05
25,19,0.0720542,6.519325118446092e-05
25,20,0.0719644,6.440062111501754e-05
25,21,0.07187999999999999,6.434594004286328e-05
25,22,0.07180059999999999,6.128164488653974e-05
25,23,0.0717262,6.53648223435197e-05
25,24,0.07165960000000002,6.564937166492854e-05
25,25,0.0715928,6.257283755752257e-05
25,26,0.071529,5.9235124714984696e-05
25,27,0.0714704,6.0701235572267273e-05
25,28,0.0714138,6.004465005310532e-05
25,29,0.0713618,5.7832170977754596e-05
25,30,0.0713104,5.71265262378154e-05
25,31,0.0712602,5.4568855586312156e-05
25,32,0.07121259999999999,5.310216568088542e-05
25,33,0.0711688,5.050702921376079e-05
25,34,0.07112299999999999,4.894486694230386e-05
25,35,0.07108099999999999,4.6963815858591e-05
25,36,0.07104059999999998,4.337556916053352e-05
25,37,0.0709994,4.1287286178677896e-05
25,38,0.07096259999999999,3.830195817448292e-05
25,39,0.07092679999999998,3.551563036185594e-05
25,40,0.0708918,3.4631777315060464e-05
25,41,0.07085680000000001,3.2096105682778364e-05
25,42,0.0708252,3.0478845122477613e-05
25,43,0.0707928,2.868030683238704e-05
25,44,0.0707622,2.534876722840941e-05
25,45,0.0707312,2.557655176132894e-05
25,46,0.0707034,2.2330248543174578e-05
25,47,0.0706756,2.189611837746567e-05
25,48,0.07064680000000001,2.175683800555545e-05
25,49,0.0706198,2.1572204337991602e-05
25,50,0.07059499999999999,1.9152023391801214e-05
25,51,0.0705694,1.8445595680269946e-05
25,52,0.07054579999999999,1.6533602148353093e-05
25,53,0.0705226,1.6057397049338092e-05
25,54,0.07049980000000002,1.610465771135758e-05
25,55,0.0704758,1.5791136754516946e-05
25,56,0.07045539999999999,1.518683640525744e-05
25,57,0.07043360000000001,1.4402777509907123e-05
25,58,0.0704134,1.3865064009949947e-05
25,59,0.0703908,1.7290459797240584e-05
25,60,0.07037180000000001,1.3392535234226446e-05
25,61,0.07035179999999999,1.4274452704043143e-05
25,62,0.07033540000000002,1.2986146464601028e-05
25,63,0.0703152,1.3422369388450039e-05
25,64,0.070298,1.271219886565705e-05
25,65,0.07027900000000001,1.3711309200799807e-05
25,66,0.0702638,1.2221292893957757e-05
25,67,0.0702468,1.1651609330902111e-05
25,68,0.07022880000000001,1.3013838787999023e-05
25,69,0.0702132,1.1052601503719438e-05
25,70,0.0701972,1.1513470371701227e-05
25,71,0.0701812,1.087014259336156e-05
25,72,0.0701656,1.0031948963187027e-05
25,73,0.07015199999999999,9.899494936611192e-06
25,74,0.07013699999999999,1.0695793565693694e-05
25,75,0.07012260000000001,9.728309205613017e-06
25,76,0.0701102,9.217374897445646e-06
25,77,0.0700944,1.0384603988599141e-05
25,78,0.0700818,9.19565114606146e-06
25,79,0.07006880000000001,1.0888526071053756e-05
25,80,0.0700548,1.0590561835899456e-05
25,81,0.0700382,1.1788129622630856e-05
25,82,0.070028,1.046900186264205e-05
25,83,0.07001539999999999,1.1774548823625698e-05
25,84,0.0700046,1.0480458005259381e-05
25,85,0.0699918,1.1178550889986745e-05
