otu,n_folds_in_top,mean_rank_diff,case_minus_control,enrichment,frac_folds
KF841967.1.1371,3,17.0,-0.49551458154437106,0.3216258318377593,0.375
DQ326493.1.1337,3,7.666666666666667,-0.4440158640000414,0.4404754874938816,0.375
AB934853.1.1327,3,24.666666666666668,-0.3773811063841282,0.363060928390271,0.375
FJ366441.1.1355,3,18.333333333333332,-0.35326789409682907,0.4501801962371385,0.375
EU473498.1.1210,2,1.5,-1.3752577020312526,1.2417832353274094,0.25
FJ363916.1.1362,2,1.0,-0.8174018543468591,1.2560597451927014,0.25
EU775460.1.1390,2,11.0,-0.6388558790440915,0.28073803694053673,0.25
FJ365235.1.1357,2,12.5,-0.63256675170814,0.35290303721558575,0.25
EU458570.1.1390,2,9.0,-0.5967244802315981,0.40112674021023864,0.25
GQ897470.1.1475,2,13.0,-0.5902237380414399,0.30445683550700664,0.25
GQ491354.1.1233,2,7.5,-0.5332401043975055,1.2398144916539915,0.25
DQ801609.1.1306,2,24.0,-0.5262605246668911,0.42401338166137714,0.25
DQ795266.1.1352,2,4.0,-0.46006083269839515,0.7625986790939407,0.25
JQ191045.1.1353,2,18.0,-0.43272855807084376,0.3635668411298907,0.25
EU776550.1.1288,2,16.0,-0.4044178455831462,0.8336371083163239,0.25
FJ368433.1.1378,2,27.0,-0.3798354342530915,0.3710563193396985,0.25
EU774350.1.1258,2,27.0,-0.28573791049175895,0.22371554431650564,0.25
DQ793812.1.1284,2,5.5,0.010866894923796333,0.7618208735919771,0.25
GQ014737.1.1357,1,3.0,-1.4473827824244412,1.30479989696718,0.125
EF071318.1.1509,1,5.0,-1.054269739916132,1.0449578245241253,0.125
KX787760.1.915,1,1.0,-1.0356551148615791,1.9552188677636357,0.125
EU473544.1.1302,1,1.0,-1.0256356414577321,0.34397974346255095,0.125
EF444719.1.1219,1,1.0,0.9596937763778617,1.3067049839350506,0.125
GQ491419.1.1322,1,6.0,-0.9383363176077819,0.5453673987997009,0.125
GQ493077.1.1232,1,7.0,0.9249465307917976,1.2199835436985458,0.125
EU473814.1.1317,1,3.0,-0.8644469494410727,0.14249503254306198,0.125
JN657222.1.1286,1,8.0,-0.8582843060093281,0.5070879033682899,0.125
JQ208474.1.1334,1,5.0,-0.8424367333948451,0.768325863300041,0.125
DQ823649.1.1357,1,1.0,0.8122407943866523,0.4213422280082376,0.125
EU463341.1.1292,1,2.0,0.7969473187346885,0.9551499441998861,0.125
DQ797933.1.1286,1,2.0,-0.7930251429445423,0.38412155361376266,0.125
FAUL01000012.89600.91090,1,3.0,-0.7840006429563213,0.28396873681882506,0.125
GQ897435.1.1479,1,7.0,-0.7778394156687706,0.2737491500172434,0.125
EU468444.1.1302,1,8.0,-0.7754837781347073,0.4732922424008851,0.125
KF109479.1.1364,1,4.0,-0.7381991817765255,0.9213673197250516,0.125
EU461213.1.1290,1,10.0,-0.7179909572428911,0.3218373085644689,0.125
X65935.1.1488,1,3.0,0.7176954598768397,0.5947091438673462,0.125
DQ326162.1.1335,1,11.0,-0.7102350445456305,0.4453186068472544,0.125
FJ511498.1.1378,1,12.0,-0.7034949728080544,0.21948010476570487,0.125
FPLO01001522.10.1521,1,14.0,-0.6898952062224881,0.09254353166121351,0.125
AB506166.1.1495,1,5.0,-0.6766989503261165,0.24510355681103432,0.125
FJ512259.1.1422,1,15.0,-0.6760771854666106,0.18622418244435732,0.125
