otu,n_folds_in_top,mean_rank,mean_abs,mean_signed,frac_folds
DQ809059.1.1206,5,20.2,0.004491745798001845,-0.004491745798001845,0.625
DQ808652.1.1281,5,19.0,0.004219251938769623,-0.004219251938769623,0.625
DQ809255.1.1206,4,7.25,0.012785330824125167,-0.012785330824125167,0.5
MH634690.1.1305,4,12.75,0.006708130997506949,0.006708130997506949,0.5
FJ032391.1.1254,3,3.3333333333333335,0.01881261982758656,-0.017383794984884047,0.375
FJ364454.1.1206,3,12.666666666666666,0.012450327094614943,-0.012450327094614943,0.375
DQ797836.1.1210,3,13.0,0.01184669511478306,-0.0108876507316893,0.375
EU473498.1.1210,3,7.0,0.010350623802513184,-0.010180096401226918,0.375
EU776550.1.1288,3,7.666666666666667,0.008617247820780561,-0.007514306514677559,0.375
EU530381.1.1295,3,9.333333333333334,0.006683971089644682,0.006683971089644682,0.375
ACBX02000025.1.1217,3,23.0,0.005249555142443681,0.005027773368008373,0.375
EU774195.1.1268,3,20.333333333333332,0.004905215594061101,-0.004905215594061101,0.375
DQ799541.1.1239,3,15.666666666666666,0.004610759004369378,0.004609879720838732,0.375
GQ491160.1.1334,3,13.0,0.004218100053105937,0.004218100053105937,0.375
DQ806278.1.1302,3,10.666666666666666,0.004045771879103764,-0.004045771879103764,0.375
AY850463.1.1224,3,20.666666666666668,0.0038492098160139827,0.0038492098160139827,0.375
HK694993.1.1204,3,7.333333333333333,0.0036880960581998196,0.0036880960581998196,0.375
DQ824361.1.1287,3,18.333333333333332,0.0026360977664089875,-0.0026360977664089875,0.375
GQ492382.1.1289,3,19.0,0.002579967370290838,0.0025746981402113025,0.375
EU467714.1.1256,3,19.0,0.00246454876662431,-0.00246454876662431,0.375
DQ802353.1.1286,2,5.5,0.02391691201569242,-0.02391691201569242,0.25
DQ798603.1.1202,2,9.0,0.01577502569462134,-0.01577502569462134,0.25
EU469054.1.1253,2,13.0,0.01443239779781749,-0.014347272131817055,0.25
GQ491939.1.1201,2,9.0,0.014287150899074211,-0.014287150899074211,0.25
GQ491354.1.1233,2,15.0,0.009936961426641144,-0.00992092171083543,0.25
EU469076.1.1279,2,12.5,0.009392969646560008,-0.009392969646560008,0.25
DQ793812.1.1284,2,12.5,0.008976521306296498,-0.008938677500444707,0.25
DQ804982.1.1277,2,2.5,0.00897535933846668,0.00897535933846668,0.25
DQ808594.1.1283,2,15.5,0.008671750236517593,-0.008586723709073955,0.25
GQ492469.1.1357,2,17.0,0.0062905562224961475,0.0062905562224961475,0.25
HK240383.1.1304,2,3.0,0.00599869783337916,0.00599869783337916,0.25
AY850453.1.1227,2,24.5,0.005135051885417365,-0.005135051885417365,0.25
HK693740.1.1297,2,16.5,0.005023036268239939,0.005023036268239939,0.25
HQ807131.1.1274,2,17.5,0.004765242288450549,0.004762287298735873,0.25
EU767240.1.1347,2,8.0,0.00465443348106798,-0.00465443348106798,0.25
HK240553.1.1243,2,23.5,0.004614540907773468,0.004614540907773468,0.25
DQ802678.1.1231,2,10.5,0.004254154031832756,-0.004230322033327944,0.25
DQ796280.1.1284,2,7.0,0.004233741127993698,0.00416809832915919,0.25
GQ493973.1.1202,2,6.5,0.003958770681875981,0.003955787579963925,0.25
