fold,group,aucprc
test_0,SNE,0.10003806600461315
test_0,PhyloE,0.29844851960850477
test_0,SNE+PhyloE,0.39018828086198964
test_1,SNE,0.07156306517126007
test_1,PhyloE,0.24218615085209902
test_1,SNE+PhyloE,0.3039558363461614
test_2,SNE,0.10188875003125679
test_2,PhyloE,0.24903663845968493
test_2,SNE+PhyloE,0.36282765374623394
test_3,SNE,0.042850000194453404
test_3,PhyloE,0.12129098436525393
test_3,SNE+PhyloE,0.18760717713598452
test_4,SNE,0.0442915556085971
test_4,PhyloE,0.22881904446736726
test_4,SNE+PhyloE,0.24943413884991472
