attention_weight,group1,group2
0.0008180466776883,Biomarker_ibd,Model_1
0.000470984190046275,Biomarker_ibd,Model_1
0.004094503867566885,Biomarker_ibd,Model_1
0.00041278015652840337,Biomarker_ibd,Model_1
0.00047174603307873294,Biomarker_ibd,Model_1
0.0013381605914963113,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.003140894627325558,Biomarker_ibd,Model_1
0.004348923063265466,Biomarker_ibd,Model_1
0.0033131961006967205,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.00043817861428991934,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0025821348112499637,Biomarker_ibd,Model_1
0.0011981527627953636,Biomarker_ibd,Model_1
0.002511121332645391,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.002908721857238535,Biomarker_ibd,Model_1
0.00014810219131917955,Biomarker_ibd,Model_1
0.00017517747950147273,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.004297438911056436,Biomarker_ibd,Model_1
0.000661315174180666,Biomarker_ibd,Model_1
0.0004694185653616716,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0034470333537848386,Biomarker_ibd,Model_1
0.004237320042606823,Biomarker_ibd,Model_1
0.0036088650072501126,Biomarker_ibd,Model_1
0.0002105881602884341,Biomarker_ibd,Model_1
0.0026639696125956877,Biomarker_ibd,Model_1
0.0024019166911867216,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0033573497282552516,Biomarker_ibd,Model_1
0.0012014129117067568,Biomarker_ibd,Model_1
0.0008484577834182807,Biomarker_ibd,Model_1
0.0029808009170334206,Biomarker_ibd,Model_1
0.0005681902535301978,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0017061187033752987,Biomarker_ibd,Model_1
0.0008915830324192159,Biomarker_ibd,Model_1
0.0006670051582411557,Biomarker_ibd,Model_1
0.0004811324972913318,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0041101672924758305,Biomarker_ibd,Model_1
0.0016327400173229807,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.004058712508677536,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.00116547689751975,Biomarker_ibd,Model_1
0.000509323536376042,Biomarker_ibd,Model_1
0.0011559771559074112,Biomarker_ibd,Model_1
0.001816749990790726,Biomarker_ibd,Model_1
0.004779027552682522,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0010018963155082614,Biomarker_ibd,Model_1
0.0003599748359358057,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0011253618259533147,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0026046966721134214,Biomarker_ibd,Model_1
0.003548336577792202,Biomarker_ibd,Model_1
0.0007783050691200874,Biomarker_ibd,Model_1
0.0037457487037912975,Biomarker_ibd,Model_1
0.002221860174110818,Biomarker_ibd,Model_1
0.003839264954546086,Biomarker_ibd,Model_1
0.004139981854347132,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0011395564228719455,Biomarker_ibd,Model_1
0.004168146086158208,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0010694013829131274,Biomarker_ibd,Model_1
0.0005673085820903444,Biomarker_ibd,Model_1
0.002339492001655403,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0002711110414979432,Biomarker_ibd,Model_1
0.003981711514907934,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0,Biomarker_ibd,Model_1
0.0006889339049600658,Biomarker_ibd,Model_1
0.0021684671850049227,Biomarker_control,Model_1
0.0015812604595504605,Biomarker_control,Model_1
0.0010084770037792478,Biomarker_control,Model_1
0.0,Biomarker_control,Model_1
0.0,Biomarker_control,Model_1
0.002197591742680545,Biomarker_control,Model_1
0.0019519153548488988,Biomarker_control,Model_1
0.0002509260018334932,Biomarker_control,Model_1
0.0,Biomarker_control,Model_1
0.0,Biomarker_control,Model_1
