OTU,prevalence,mean_abc
AAAA02020714.1.1202,0.0011090485030225141,1.6130092711286208e-06
AAFJ01000001.39328.40836,0.0005283449950021419,2.0213015313248585e-06
AAQK01001555.694.2198,0.00086153553239088,3.6736610914240243e-06
AAQK01003909.1492.2988,0.0025465276786139275,6.497348785504369e-06
AATC01000018.2.1513,0.0006568613451377981,3.446033898440443e-06
AATF01002564.10.1217,0.0015802751201865867,6.65590274312644e-07
AAXA02000007.1.1294,0.00985768004188681,6.5592588818636e-05
AB002518.1.1416,0.0006854205340568328,1.4974093996670939e-06
AB006120.1.1355,0.0013137226902755963,7.042088543038823e-06
AB006125.1.1294,0.0008853348564900757,1.405084526345737e-06
AB006127.1.1290,0.0005235851301823028,1.935762309108247e-06
AB006769.1.1456,0.0006663810747774763,3.688548803479462e-06
AB008514.1.1214,0.001504117283069161,3.149655298054169e-06
AB008531.1.1246,0.003793612261411776,5.048475888579875e-06
AB009222.1.1414,0.0011661668808605836,2.3087294807672223e-06
AB011816.1.1463,0.0007710981008139369,7.370284108500352e-06
AB012207.1.1299,0.0007520586415345805,2.330055846569476e-06
AB012589.1.1484,0.0009424532343281451,1.139010287889196e-06
AB022925.1.1450,0.0045171117140273215,7.435694694579034e-06
AB023972.1.1377,0.004169641582179066,7.073891016390352e-06
AB023973.1.1445,0.0007377790470750631,1.2041301512228953e-06
AB027362.1.1386,0.0013184825550954353,1.0092495016099083e-05
AB030220.1.1486,0.003993526583845019,5.905047093385879e-06
AB034121.1.1264,0.0006616212099576373,1.043535161644028e-06
AB036759.1.1480,0.003703174829834833,5.9488534387381805e-06
AB062283.1.1345,0.0008948545861297539,2.303805106460536e-06
AB064919.1.1492,0.003955447665286306,7.01795025167224e-05
AB071950.1.1341,0.0020657813318101766,1.1452028640034114e-05
AB071953.1.1312,0.0009472130991479842,1.2272964247852316e-06
AB074617.1.1332,0.000980532152886858,1.5912556046757235e-06
AB088984.1.1396,0.0006663810747774763,4.6793981674338234e-06
AB108825.1.1490,0.000609262696939407,5.987389399935528e-07
AB128872.1.1589,0.0005188252653624637,8.037760782861126e-07
AB174795.1.1258,0.0012756437717168832,9.573305665057304e-06
AB176365.1.1240,0.0007425389118949022,4.590344964936798e-06
AB182483.1.1494,0.0009138940454091103,3.0347223008498836e-06
AB185742.1.1529,0.0016659526869436908,1.1443728542360857e-06
AB185776.1.1501,0.0004997858060831073,2.399601687930783e-07
AB185810.1.1527,0.0007139797229758674,1.4157432809700865e-05
AB192177.1.1438,0.0008329763434718454,2.7402357395501637e-07
AB200414.1.1491,0.0009043743157694322,8.860678267694322e-07
AB214328.1.1484,0.0005807035080203722,7.308579455325734e-06
AB218288.1.1449,0.0018230282259983817,9.138593996822386e-06
AB218300.1.1457,0.0005616640487410158,8.390738471843768e-07
AB218322.1.1456,0.0045409110381265175,8.107690420376129e-06
AB218324.1.1551,0.0005378647246418202,1.2402475061501092e-06
AB218325.1.1438,0.013775048788614403,7.216616992726767e-06
AB218332.1.1445,0.0017278309296015993,6.4994201594005135e-06
AB218334.1.1446,0.003484221048122233,4.340791936739932e-06
AB218338.1.1457,0.006516254938359751,2.410257193662368e-06
AB220083.1.1360,0.0006663810747774763,2.8810125377709297e-06
AB221358.1.1238,0.0008044171545528107,1.5848027525384865e-07
AB222699.1.1485,0.0007330191822552239,5.755571687982807e-06
AB231038.1.1365,0.0005759436432005331,4.981433992604077e-07
AB233029.1.1493,0.0006330620210386025,8.93453729510948e-07
AB234418.1.1355,0.0006235422913989242,3.5330573337502724e-07
AB234447.1.1351,0.0008091770193726499,1.1911597666112952e-07
AB234451.1.1349,0.0005473844542814984,2.7489436223759323e-08
AB234463.1.1349,0.0010757294492836403,5.754210233480533e-07
AB234520.1.1316,0.00134704174401447,4.03283081273688e-06
AB234524.1.1350,0.0006045028321195678,2.476202388160335e-07
AB234525.1.1348,0.0020562616021704986,1.0476156920792703e-05
AB237713.1.1455,0.0004855062116235899,5.784262430282001e-08
AB238924.1.1486,0.007934694654671807,3.2749930723584636e-05
AB238927.1.1486,0.003479461183302394,1.8926912790200793e-05
AB238928.1.1492,0.0004664667523442334,6.924879559201841e-06
AB241130.1.1446,0.0006616212099576373,5.184736521680567e-07
AB243992.1.1538,0.0005188252653624637,2.69740968687681e-07
AB255081.1.1485,0.0005664239135608548,8.107197376956224e-07
AB259061.1.1545,0.0005045456709029464,9.427100650745923e-07
AB261128.1.1492,0.012865914608025133,6.90622955017968e-05
AB264066.1.1465,0.0025179684896948925,5.962853212426406e-07
AB264069.1.1447,0.005435765624256271,5.8343000869342255e-06
AB264073.1.1456,0.009810081393688419,1.6708781566912343e-06
AB264082.1.1445,0.029934789851968204,2.171619891076107e-05
AB264126.1.1422,0.0005235851301823028,5.322517403411675e-07
AB266102.1.1428,0.016935599028987575,3.8586748470687975e-05
AB267809.1.1461,0.0007092198581560284,2.9928888109625403e-06
AB270083.1.1322,0.0009757722880670189,1.8949592463649317e-06
AB272322.1.1204,0.0006045028321195678,6.598546241721733e-07
AB272335.1.1200,0.042543671759722027,0.00010810394162119422
AB272364.1.1268,0.0007044599933361893,3.3093953389369775e-06
